latitude;longitude;nome;municipio;UF;pop_max
-13,02;-40,06;NOVA ITARANA - BA;NOVA ITARANA;BA;3 151
-14,47;-59,6;NOVA LACERDA - MT;NOVA LACERDA;MT;2 042
-25,3;-52,54;NOVA LARANJEIRAS - PR;NOVA LARANJEIRAS;PR;3 932
-19,98;-43,84;NOVA LIMA - MG;NOVA LIMA;MG;15 679
-22,76;-52,98;NOVA LONDRINA - PR;NOVA LONDRINA;PR;3 044
-20,85;-50,26;NOVA LUZITANIA - SP;NOVA LUZITANIA;SP;8 497
-10,41;-65,33;NOVA MAMORE - RO;NOVA MAMORE;RO;13 715
-14,36;-56,96;NOVA MARILANDIA - MT;NOVA MARILANDIA;MT;11 707
-13,02;-57,07;NOVA MARINGA - MT;NOVA MARINGA;MT;2 032
-18,43;-41,5;NOVA MODICA - MG;NOVA MODICA;MG;3 061
-9,98;-57,53;NOVA MONTE VERDE - MT;NOVA MONTE VERDE;MT;6 790
-13,83;-56,08;NOVA MUTUM - MT;NOVA MUTUM;MT;1 062
-22,77;-47,29;NOVA ODESSA - SP;NOVA ODESSA;SP;5 021
-14,79;-57,28;NOVA OLIMPIA - MT;NOVA OLIMPIA;MT;12 815
-23,47;-53,08;NOVA OLIMPIA - PR;NOVA OLIMPIA;PR;34 269
-7,09;-39,68;NOVA OLINDA - CE;NOVA OLINDA;CE;17 438
-7,48;-38,04;NOVA OLINDA - PB;NOVA OLINDA;PB;5 155
-7,63;-48,42;NOVA OLINDA - TO;NOVA OLINDA;TO;26 585
-2,84;-45,69;NOVA OLINDA DO MARANHAO - MA;NOVA OLINDA DO MARANHAO;MA;20 478
-3,88;-59,09;NOVA OLINDA DO NORTE - AM;NOVA OLINDA DO NORTE;AM;5 597
-29,02;-51,3;NOVA PADUA - RS;NOVA PADUA;RS;4 865
-29,47;-53,46;NOVA PALMA - RS;NOVA PALMA;RS;9 311
-6,67;-36,42;NOVA PALMEIRA - PB;NOVA PALMEIRA;PB;7 967
-29,37;-51,11;NOVA PETROPOLIS - RS;NOVA PETROPOLIS;RS;7 225
-19,13;-47,68;NOVA PONTE - MG;NOVA PONTE;MG;9 724
-15,8;-43,3;NOVA PORTEIRINHA - MG;NOVA PORTEIRINHA;MG;189 939
-28,78;-51,61;NOVA PRATA - RS;NOVA PRATA;RS;8 310
-25,63;-53,34;NOVA PRATA DO IGUACU - PR;NOVA PRATA DO IGUACU;PR;19 419
-28,06;-53,69;NOVA RAMADA - RS;NOVA RAMADA;RS;4 590
-12,81;-41,07;NOVA REDENCAO - BA;NOVA REDENCAO;BA;2 156
-21,12;-46,42;NOVA RESENDE - MG;NOVA RESENDE;MG;20 088
-13,74;-46,88;NOVA ROMA - GO;NOVA ROMA;GO;6 501
-28,99;-51,4;NOVA ROMA DO SUL - RS;NOVA ROMA DO SUL;RS;785 867
-10,56;-48,91;NOVA ROSALANDIA - TO;NOVA ROSALANDIA;TO;3 010
-4,7;-40,56;NOVA RUSSAS - CE;NOVA RUSSAS;CE;4 609
-23,59;-50,72;NOVA SANTA BARBARA - PR;NOVA SANTA BARBARA;PR;4 320
-29,85;-51,27;NOVA SANTA RITA - RS;NOVA SANTA RITA;RS;13 955
-24,46;-53,95;NOVA SANTA ROSA - PR;NOVA SANTA ROSA;PR;4 536
-19,87;-44,98;NOVA SERRANA - MG;NOVA SERRANA;MG;7 780
-11,23;-38,48;NOVA SOURE - BA;NOVA SOURE;BA;6 670
-24,43;-51,94;NOVA TEBAS - PR;NOVA TEBAS;PR;12 074
-1,2;-47,38;NOVA TIMBOTEUA - PA;NOVA TIMBOTEUA;PA;111 697
-27,28;-48,93;NOVA TRENTO - SC;NOVA TRENTO;SC;12 923
-12,99;-55,25;NOVA UBIRATA - MT;NOVA UBIRATA;MT;2 837
-19,69;-43,58;NOVA UNIAO - MG;NOVA UNIAO;MG;25 444
-10,9;-62,56;NOVA UNIAO - RO;NOVA UNIAO;RO;3 529
-18,71;-40,4;NOVA VENECIA - ES;NOVA VENECIA;ES;5 846
-16,37;-49,32;NOVA VENEZA - GO;NOVA VENEZA;GO;3 663
-28,63;-49,49;NOVA VENEZA - SC;NOVA VENEZA;SC;8 313
-17,89;-39,37;NOVA VICOSA - BA;NOVA VICOSA;BA;55 839
-14,67;-52,35;NOVA XAVANTINA - MT;NOVA XAVANTINA;MT;4 200
-20,99;-48,91;NOVAIS - SP;NOVAIS;SP;62 019
-9,96;-47,67;NOVO ACORDO - TO;NOVO ACORDO;TO;16 352
-2,62;-60,94;NOVO AIRAO - AM;NOVO AIRAO;AM;5 833
-12,93;-46,57;NOVO ALEGRE - TO;NOVO ALEGRE;TO;15 399
-5,12;-60,38;NOVO ARIPUANA - AM;NOVO ARIPUANA;AM;10 367
-27,9;-53,1;NOVO BARREIRO - RS;NOVO BARREIRO;RS;5 787
-16,03;-50,71;NOVO BRASIL - GO;NOVO BRASIL;GO;14 314
-29,73;-52,94;NOVO CABRAIS - RS;NOVO CABRAIS;RS;27 062
-17,46;-41,87;NOVO CRUZEIRO - MG;NOVO CRUZEIRO;MG;2 343
-16,05;-48,03;NOVO GAMA - GO;NOVO GAMA;GO;5 586
-29,67;-51,13;NOVO HAMBURGO - RS;NOVO HAMBURGO;RS;4 259
-12,8;-42,16;NOVO HORIZONTE - BA;NOVO HORIZONTE;BA;23 300
-26,44;-52,83;NOVO HORIZONTE - SC;NOVO HORIZONTE;SC;14 598
-21,46;-49,22;NOVO HORIZONTE - SP;NOVO HORIZONTE;SP;6 706
-11,41;-57,35;NOVO HORIZONTE DO NORTE - MT;NOVO HORIZONTE DO NORTE;MT;25 692
-11,69;-61,99;NOVO HORIZONTE DO OESTE - RO;NOVO HORIZONTE DO OESTE;RO;12 699
-22,66;-53,86;NOVO HORIZONTE DO SUL - MS;NOVO HORIZONTE DO SUL;MS;2 163
-23,76;-51,5;NOVO ITACOLOMI - PR;NOVO ITACOLOMI;PR;7 538
-11,82;-46,62;NOVO JARDIM - TO;NOVO JARDIM;TO;16 387
-8,91;-35,64;NOVO LINO - AL;NOVO LINO;AL;3 076
-27,57;-54,5;NOVO MACHADO - RS;NOVO MACHADO;RS;3 466
-9,95;-55,19;NOVO MUNDO - MT;NOVO MUNDO;MT;3 362
