city;latitude;longitude;country;iso2;admin_name;capital;population
São Sebastião do Passé;-12,5128;-38,495;Brazil;BR;Bahia;minor;44430
Jacarèzinho;-23,1608;-49,9689;Brazil;BR;Paraná;;39322
Itaitinga;-3,9667;-38,5167;Brazil;BR;Ceará;minor;38325
São Desidério;-12,3667;-44,9667;Brazil;BR;Bahia;;34266
São Sebastião;-9,9339;-36,5539;Brazil;BR;Alagoas;;34211
Monteiro;-7,8889;-37,12;Brazil;BR;Paraíba;;33433
Santo Antônio do Tauá;-1,1833;-48,1333;Brazil;BR;Pará;minor;31918
São Gotardo;-19,3108;-46,0489;Brazil;BR;Minas Gerais;;31819
Riacho de Santana;-13,6089;-42,9389;Brazil;BR;Bahia;;30711
Bujaru;-1,5167;-48,0167;Brazil;BR;Pará;minor;29427
Humberto de Campos;-2,6;-43,4667;Brazil;BR;Maranhão;minor;28932
Traipu;-9,9708;-37,0028;Brazil;BR;Alagoas;;27826
Quijingue;-10,75;-39,2;Brazil;BR;Bahia;minor;27626
Porto Calvo;-9,045;-35,3978;Brazil;BR;Alagoas;minor;27288
Ipu;-4,3257;-40,7103;Brazil;BR;Ceará;minor;26678
Arapoti;-24,1667;-49,6667;Brazil;BR;Paraná;;25777
Ibiapina;-3,9228;-40,8889;Brazil;BR;Ceará;minor;25082
Matinha;-3,1008;-45,0339;Brazil;BR;Maranhão;minor;23482
Coração de Maria;-12,2328;-38,75;Brazil;BR;Bahia;minor;22495
Jaicós;-7,35;-41,1333;Brazil;BR;Piauí;minor;19170
Passagem Franca;-6,1667;-43,7833;Brazil;BR;Maranhão;minor;19137
Ingá;-7,2678;-35,6128;Brazil;BR;Paraíba;minor;18144
Taperoá;-7,2078;-36,8261;Brazil;BR;Paraíba;minor;15441
Elesbão Veloso;-6,2167;-42,1333;Brazil;BR;Piauí;minor;13607
Destêrro;-7,2908;-37,0939;Brazil;BR;Paraíba;minor;8315
Corumbiara;-12,9619;-60,8867;Brazil;BR;Rondônia;minor;7519
